SIC Code,Exiobase mapping,Industry Title
2070,products of Vegetable oils and fats,FATS & OILS
2080,Beverages,BEVERAGES
2082,Beverages,MALT BEVERAGES
2086,Beverages,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS
2090,Food products nec,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS
2092,Fish products,PREPARED FRESH OR FROZEN FISH & SEAFOODS
2100,Tobacco products (16),TOBACCO PRODUCTS
2111,Tobacco products (16),CIGARETTES
2200,Textiles (17),TEXTILE MILL PRODUCTS
2211,Textiles (17),"BROADWOVEN FABRIC MILLS, COTTON"
2221,Textiles (17),"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK"
2250,Textiles (17),KNITTING MILLS
2253,Wearing apparel; furs (18),KNIT OUTERWEAR MILLS
2273,Textiles (17),CARPETS & RUGS
2300,Wearing apparel; furs (18),APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
2320,Wearing apparel; furs (18),"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS"
2330,Wearing apparel; furs (18),"WOMEN'S, MISSES', AND JUNIORS OUTERWEAR"
2340,Wearing apparel; furs (18),"WOMEN'S, MISSES', CHILDREN'S & INFANTS' UNDERGARMENTS"
2390,Textiles (17),MISCELLANEOUS FABRICATED TEXTILE PRODUCTS
2400,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),LUMBER & WOOD PRODUCTS (NO FURNITURE)
2421,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),"SAWMILLS & PLANTING MILLS, GENERAL"
2430,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),"MILLWOOD, VENEER, PLYWOOD, & STRUCTURAL WOOD MEMBERS"
2451,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),MOBILE HOMES
2452,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),PREFABRICATED WOOD BLDGS & COMPONENTS
2510,Furniture; other manufactured goods n.e.c. (36),HOUSEHOLD FURNITURE
2511,Furniture; other manufactured goods n.e.c. (36),"WOOD HOUSEHOLD FURNITURE, (NO UPHOLSTERED)"
2520,Furniture; other manufactured goods n.e.c. (36),OFFICE FURNITURE
2522,Furniture; other manufactured goods n.e.c. (36),OFFICE FURNITURE (NO WOOD)
2531,Furniture; other manufactured goods n.e.c. (36),PUBLIC BLDG & RELATED FURNITURE
2540,Furniture; other manufactured goods n.e.c. (36),"PARTITIONS, SHELVG, LOCKERS, & OFFICE & STORE FIXTURES"
2590,Furniture; other manufactured goods n.e.c. (36),MISCELLANEOUS FURNITURE & FIXTURES
2600,Paper and paper products,PAPERS & ALLIED PRODUCTS
2611,Pulp,PULP MILLS
2621,Paper and paper products,PAPER MILLS
2631,Paper and paper products,PAPERBOARD MILLS
2650,Paper and paper products,PAPERBOARD CONTAINERS & BOXES
2670,Paper and paper products,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
2673,Paper and paper products,"PLASTICS, FOIL & COATED PAPER BAGS"
2711,Printed matter and recorded media (22),NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING
2721,Printed matter and recorded media (22),PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING
2731,Printed matter and recorded media (22),BOOKS: PUBLISHING OR PUBLISHING & PRINTING
2732,Printed matter and recorded media (22),BOOK PRINTING
2741,Printed matter and recorded media (22),MISCELLANEOUS PUBLISHING
2750,Printed matter and recorded media (22),COMMERCIAL PRINTING
2761,Printed matter and recorded media (22),MANIFOLD BUSINESS FORMS
2771,Printed matter and recorded media (22),GREETING CARDS
2780,Printed matter and recorded media (22),"BLANKBOOKS, LOOSELEAF BINDERS & BOOKBINDG & RELATD WORK"
2790,Printed matter and recorded media (22),SERVICE INDUSTRIES FOR THE PRINTING TRADE
2800,Chemicals nec,CHEMICALS & ALLIED PRODUCTS
2810,Chemicals nec,INDUSTRIAL INORGANIC CHEMICALS
2820,"Plastics, basic","PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)"
2821,"Plastics, basic","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
2833,Chemicals nec,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS
2834,Chemicals nec,PHARMACEUTICAL PREPARATIONS
2835,Chemicals nec,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
2836,Chemicals nec,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)"
2840,Chemicals nec,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS"
2842,Chemicals nec,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
2844,Chemicals nec,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
2851,Chemicals nec,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS"
2860,Chemicals nec,INDUSTRIAL ORGANIC CHEMICALS
2870,N-fertiliser,AGRICULTURAL CHEMICALS
2890,Chemicals nec,MISCELLANEOUS CHEMICAL PRODUCTS
2891,Chemicals nec,ADHESIVES & SEALANTS
2911,Non-specified Petroleum Products,PETROLEUM REFINING
2950,Bitumen,ASPHALT PAVING & ROOFING MATERIALS
2990,Non-specified Petroleum Products,MISCELLANEOUS PRODUCTS OF PETROLEUM & COAL
3011,Rubber and plastic products (25),TIRES & INNER TUBES
3021,Rubber and plastic products (25),RUBBER & PLASTICS FOOTWEAR
3050,Rubber and plastic products (25),"GASKETS, PACKG & SEALG DEVICES & RUBBER & PLASTICS HOSE"
3060,Rubber and plastic products (25),"FABRICATED RUBBER PRODUCTS, NEC"
3080,Rubber and plastic products (25),MISCELLANEOUS PLASTICS PRODUCTS
3081,Rubber and plastic products (25),UNSUPPORTED PLASTICS FILM & SHEET
3086,Rubber and plastic products (25),PLASTICS FOAM PRODUCTS
3089,Rubber and plastic products (25),"PLASTICS PRODUCTS, NEC"
3100,Leather and leather products (19),LEATHER & LEATHER PRODUCTS
3140,Leather and leather products (19),"FOOTWEAR, (NO RUBBER)"
3211,Glass and glass products,FLAT GLASS
3220,Glass and glass products,"GLASS & GLASSWARE, PRESSED OR BLOWN"
3221,Glass and glass products,GLASS CONTAINERS
3231,Glass and glass products,"GLASS PRODUCTS, MADE OF PURCHASED GLASS"
3241,"Cement, lime and plaster","CEMENT, HYDRAULIC"
3250,"Bricks, tiles and construction products, in baked clay",STRUCTURAL CLAY PRODUCTS
3260,Ceramic goods,POTTERY & RELATED PRODUCTS
3270,Other non-metallic mineral products,"CONCRETE, GYPSUM & PLASTER PRODUCTS"
3272,Other non-metallic mineral products,"CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK"
3281,Stone,CUT STONE & STONE PRODUCTS
3290,Other non-metallic mineral products,"ABRASIVE, ASBESTOS & MISC NONMETALLIC MINERAL PRODS"
3310,Basic iron and steel and of ferro-alloys and first products thereof,"STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS"
3312,Basic iron and steel and of ferro-alloys and first products thereof,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)"
3317,Basic iron and steel and of ferro-alloys and first products thereof,STEEL PIPE & TUBES
3320,Foundry work services,IRON & STEEL FOUNDRIES
3330,Other non-ferrous metal products,PRIMARY SMELTING & REFINING OF NONFERROUS METALS
3334,Aluminium and aluminium products,PRIMARY PRODUCTION OF ALUMINUM
3341,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",SECONDARY SMELTING & REFINING OF NONFERROUS METALS
3350,Other non-ferrous metal products,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS
3357,Copper products,DRAWING & INSULATING OF NONFERROUS WIRE
3360,Other non-ferrous metal products,NONFERROUS FOUNDRIES (CASTINGS)
3390,Other non-ferrous metal products,MISCELLANEOUS PRIMARY METAL PRODUCTS
3411,"Fabricated metal products, except machinery and equipment (28)",METAL CANS
3412,"Fabricated metal products, except machinery and equipment (28)","METAL SHIPPING BARRELS, DRUMS, KEGS & PAILS"
3420,"Fabricated metal products, except machinery and equipment (28)","CUTLERY, HANDTOOLS & GENERAL HARDWARE"
3430,"Fabricated metal products, except machinery and equipment (28)","HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES"
3433,"Fabricated metal products, except machinery and equipment (28)","HEATING EQUIPMENT, EXCEPT ELECTRIC & WARM AIR FURNACES"
3440,"Fabricated metal products, except machinery and equipment (28)",FABRICATED STRUCTURAL METAL PRODUCTS
3442,"Fabricated metal products, except machinery and equipment (28)","METAL DOORS, SASH, FRAMES, MOLDINGS & TRIM"
3443,"Fabricated metal products, except machinery and equipment (28)",FABRICATED PLATE WORK (BOILER SHOPS)
3444,"Fabricated metal products, except machinery and equipment (28)",SHEET METAL WORK
3448,"Fabricated metal products, except machinery and equipment (28)",PREFABRICATED METAL BUILDINGS & COMPONENTS
3451,"Fabricated metal products, except machinery and equipment (28)",SCREW MACHINE PRODUCTS
3452,"Fabricated metal products, except machinery and equipment (28)","BOLTS, NUTS, SCREWS, RIVETS & WASHERS"
3460,"Fabricated metal products, except machinery and equipment (28)",METAL FORGINGS & STAMPINGS
3470,"Fabricated metal products, except machinery and equipment (28)","COATING, ENGRAVING & ALLIED SERVICES"
3480,"Fabricated metal products, except machinery and equipment (28)","ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
3490,"Fabricated metal products, except machinery and equipment (28)",MISCELLANEOUS FABRICATED METAL PRODUCTS
3510,Machinery and equipment n.e.c. (29),ENGINES & TURBINES
3523,Machinery and equipment n.e.c. (29),FARM MACHINERY & EQUIPMENT
3524,Machinery and equipment n.e.c. (29),LAWN & GARDEN TRACTORS & HOME LAWN & GARDENS EQUIP
3530,Machinery and equipment n.e.c. (29),"CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP"
3531,Machinery and equipment n.e.c. (29),CONSTRUCTION MACHINERY & EQUIP
3532,Machinery and equipment n.e.c. (29),MINING MACHINERY & EQUIP (NO OIL & GAS FIELD MACH & EQUIP)
3533,Machinery and equipment n.e.c. (29),OIL & GAS FIELD MACHINERY & EQUIPMENT
3537,Machinery and equipment n.e.c. (29),"INDUSTRIAL TRUCKS, TRACTORS, TRAILORS & STACKERS"
3540,Machinery and equipment n.e.c. (29),METALWORKG MACHINERY & EQUIPMENT
3541,Machinery and equipment n.e.c. (29),"MACHINE TOOLS, METAL CUTTING TYPES"
3550,Machinery and equipment n.e.c. (29),SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY)
3555,Machinery and equipment n.e.c. (29),PRINTING TRADES MACHINERY & EQUIPMENT
3559,Machinery and equipment n.e.c. (29),"SPECIAL INDUSTRY MACHINERY, NEC"
3560,Machinery and equipment n.e.c. (29),GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
3561,Machinery and equipment n.e.c. (29),PUMPS & PUMPING EQUIPMENT
3562,Machinery and equipment n.e.c. (29),BALL & ROLLER BEARINGS
3564,Machinery and equipment n.e.c. (29),INDUSTRIAL & COMMERCIAL FANS & BLOWERS & AIR PURIFING EQUIP
3567,Machinery and equipment n.e.c. (29),INDUSTRIAL PROCESS FURNACES & OVENS
3569,Machinery and equipment n.e.c. (29),"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC"
3570,Office machinery and computers (30),COMPUTER & OFFICE EQUIPMENT
3571,Office machinery and computers (30),ELECTRONIC COMPUTERS
3572,Office machinery and computers (30),COMPUTER STORAGE DEVICES
3575,Office machinery and computers (30),COMPUTER TERMINALS
